                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.83903,                 1.6529,                0.70996,                 1.1618,                0.66571,                0.41499,                0.44456,                0.24336,                0.62295,                  0.375,                0.39376,                0.17866,                 2.0721,                 4.6579,                 2.2116,                 2.0468,                 0.0018,                 0.0018,                 0.0018
                    104,                0.82049,                 1.5841,                0.70673,                 1.0984,                 0.8008,                0.41667,                0.41799,                0.22409,                0.71678,                  0.375,                0.35545,                0.15996,                   2.05,                 4.7259,                 2.1833,                 1.9987,               0.001798,               0.001798,               0.001798
                    105,                0.81763,                 1.6545,                0.70332,                 1.1126,                0.73598,                  0.375,                0.43444,                0.23024,                 0.6528,                0.29167,                0.32267,                0.16494,                 2.0091,                 4.5646,                  2.066,                 1.9542,              0.0017961,              0.0017961,              0.0017961
                    106,                0.79652,                 1.5297,                0.67742,                 1.0941,                0.78552,                0.41667,                0.47623,                 0.2318,                0.59755,                0.29167,                0.31649,                0.16027,                 2.0153,                  4.264,                 1.9753,                 1.9136,              0.0017941,              0.0017941,              0.0017941
                    107,                0.75522,                 1.4786,                0.64972,                  1.096,                0.85226,                0.48148,                0.50652,                0.24262,                0.78015,                0.44426,                0.43191,                0.16411,                 1.9209,                 4.1171,                 1.8136,                  1.896,              0.0017921,              0.0017921,              0.0017921
                    108,                 0.8241,                 1.5196,                0.66742,                 1.1086,                0.49559,                0.58333,                0.46105,                0.20687,                 0.5918,                0.45833,                0.43639,                0.16224,                 1.9909,                 4.2482,                 1.9309,                 1.9456,              0.0017901,              0.0017901,              0.0017901
                    109,                0.91253,                 1.7442,                0.75585,                 1.1197,                0.58474,                    0.5,                0.51931,                0.24282,                0.63664,                0.54167,                0.51408,                0.19636,                 1.9624,                 4.4795,                 1.8577,                 1.9979,              0.0017881,              0.0017881,              0.0017881
                    110,                0.86233,                 1.5551,                0.69621,                  1.163,                0.75359,                0.54167,                0.57787,                0.28902,                0.75359,                0.54167,                0.57404,                 0.2593,                 1.8031,                 4.3401,                 1.6362,                 1.8322,              0.0017862,              0.0017862,              0.0017862
                    111,                0.82991,                 1.6035,                0.68927,                 1.0855,                0.78899,                    0.5,                0.58255,                0.30924,                0.78899,                    0.5,                0.56281,                0.28095,                 1.7862,                 4.1736,                 1.6123,                 1.8601,              0.0017842,              0.0017842,              0.0017842
                    112,                 0.8919,                 1.6125,                0.71134,                 1.1484,                 0.4802,                0.58333,                0.49659,                0.25683,                 0.4802,                0.58333,                0.46607,                0.22497,                 1.8837,                 4.2868,                 1.8441,                 1.9616,              0.0017822,              0.0017822,              0.0017822
                    113,                0.79293,                  1.631,                0.72215,                  1.141,                0.53477,                0.41667,                0.43439,                0.20116,                0.53477,                0.41667,                0.43111,                 0.1782,                 2.0025,                 4.3928,                 2.0745,                 2.0259,              0.0017802,              0.0017802,              0.0017802
                    114,                0.75247,                 1.3858,                0.61436,                 1.0995,                0.54204,                0.45833,                  0.453,                0.22591,                0.79901,                0.33333,                0.42094,                0.19524,                   2.01,                 4.4425,                 1.9655,                 1.9899,              0.0017782,              0.0017782,              0.0017782
                    115,                0.82534,                 1.7303,                0.70805,                 1.1205,                0.66364,                0.45833,                0.48943,                0.23724,                0.60279,                0.41667,                0.44583,                0.19707,                 2.1034,                 4.5069,                 2.0172,                 2.0431,              0.0017763,              0.0017763,              0.0017763
                    116,                0.80637,                 1.4307,                0.69213,                 1.1311,                0.71564,                    0.5,                0.50372,                0.22362,                0.76488,                  0.375,                0.42976,                 0.1683,                 2.2541,                 4.7495,                 2.0362,                 2.1672,              0.0017743,              0.0017743,              0.0017743
                    117,                0.75614,                 1.5045,                0.60511,                 1.0477,                0.62692,                0.45833,                0.46571,                0.20274,                 0.5382,                  0.375,                0.40007,                0.14714,                 2.1484,                 4.8815,                 1.9931,                 2.1224,              0.0017723,              0.0017723,              0.0017723
                    118,                0.76323,                 1.4683,                 0.6558,                 1.1157,                0.52392,                0.45855,                0.50812,                0.22181,                0.71464,                  0.375,                0.46716,                0.16011,                 2.1156,                 4.8329,                 1.9423,                 1.9917,              0.0017703,              0.0017703,              0.0017703
                    119,                0.81766,                 1.5328,                0.69285,                 1.1022,                0.51035,                0.60835,                0.60004,                0.27431,                0.48007,                  0.625,                0.53935,                 0.1792,                 2.1209,                 4.8595,                 1.7947,                 1.9639,              0.0017683,              0.0017683,              0.0017683
                    120,                0.80865,                 1.5328,                0.64557,                 1.0965,                0.59412,                0.45833,                0.50987,                0.24813,                0.64858,                    0.5,                0.50937,                0.19011,                 2.0845,                 5.2552,                   1.81,                  1.963,              0.0017664,              0.0017664,              0.0017664
                    121,                0.79774,                 1.4831,                0.66301,                   1.09,                0.64615,                0.41667,                0.45864,                0.20255,                0.64615,                0.41667,                 0.4472,                0.15986,                 2.0924,                 5.6799,                 2.0021,                 2.0979,              0.0017644,              0.0017644,              0.0017644
                    122,                0.80425,                   1.59,                0.65915,                 1.1117,                0.57841,                  0.375,                0.35368,                0.19352,                0.44436,                0.29167,                0.24932,                0.13455,                 2.0805,                 5.8317,                 2.1428,                 2.2496,              0.0017624,              0.0017624,              0.0017624
                    123,                0.77231,                 1.4982,                0.65223,                 1.0505,                0.60833,                  0.375,                0.36676,                 0.1633,                0.54074,                0.33333,                0.29786,                0.13363,                 2.1838,                 5.9317,                 2.3395,                 2.2257,              0.0017604,              0.0017604,              0.0017604
                    124,                0.80043,                 1.5348,                 0.6677,                 1.1342,                0.72497,                  0.375,                 0.3999,                0.18981,                0.64384,                0.33333,                0.37677,                0.17222,                 2.2517,                  5.852,                 2.2799,                 2.1773,              0.0017584,              0.0017584,              0.0017584
                    125,                0.82801,                 1.5379,                0.67777,                 1.1307,                0.71104,                  0.375,                0.40495,                0.19497,                0.63204,                0.33333,                0.31335,                0.15331,                 2.2743,                 6.0536,                 2.2989,                 2.1713,              0.0017565,              0.0017565,              0.0017565
                    126,                 0.8012,                 1.5661,                0.66465,                 1.1283,                0.52307,                0.45833,                0.40686,                0.18756,                0.63816,                0.29167,                0.28501,                0.11596,                 2.2378,                 6.4726,                 1.9887,                 2.2598,              0.0017545,              0.0017545,              0.0017545
                    127,                0.74187,                 1.5108,                0.60742,                 1.0653,                0.49217,                0.45833,                0.40536,                0.23753,                0.42096,                0.29167,                0.25952,                0.14411,                 1.9517,                  6.186,                 1.8885,                 2.0206,              0.0017525,              0.0017525,              0.0017525
                    128,                0.82669,                 1.5695,                0.67014,                 1.0743,                0.52146,                0.45423,                0.38439,                0.23469,                0.56798,                0.32897,                0.30221,                 0.1785,                 1.8286,                 5.5355,                 1.9446,                 1.9803,              0.0017505,              0.0017505,              0.0017505
                    129,                0.80194,                 1.5452,                0.65663,                  1.088,                0.43096,                0.41667,                0.36387,                0.20393,                 0.3834,                  0.375,                  0.304,                0.15485,                 1.8368,                 5.1892,                 2.0873,                 1.9837,              0.0017485,              0.0017485,              0.0017485
                    130,                  0.791,                 1.6792,                0.66311,                 1.0627,                0.49969,                0.33333,                0.34378,                0.18518,                0.43675,                0.29167,                0.28661,                0.15627,                 2.0079,                  5.162,                 2.2056,                  2.157,              0.0017466,              0.0017466,              0.0017466
                    131,                0.80043,                 1.4951,                 0.6342,                 1.1004,                0.50733,                0.29167,                0.30906,                0.18285,                0.50733,                0.29167,                0.28196,                0.15504,                 1.8185,                 5.3225,                 2.4054,                 1.9019,              0.0017446,              0.0017446,              0.0017446
                    132,                0.79342,                 1.5068,                0.64841,                 1.0801,                0.59419,                0.29167,                0.32338,                0.18163,                0.59419,                0.29167,                0.28749,                0.15605,                  1.869,                 5.5559,                 2.4471,                 2.0162,              0.0017426,              0.0017426,              0.0017426
                    133,                0.79956,                 1.4932,                0.62036,                 1.1153,                0.39697,                0.27489,                0.25011,                0.17084,                0.39697,                0.27489,                0.23754,                0.14312,                 1.9342,                 5.5933,                 2.6713,                 2.0833,              0.0017406,              0.0017406,              0.0017406
                    134,                0.75046,                 1.4982,                0.63542,                 1.0555,                0.33822,                0.33333,                0.23303,                0.15881,                0.29464,                0.29167,                0.21017,                0.13102,                 1.9486,                 5.4216,                 2.9393,                 2.1378,              0.0017386,              0.0017386,              0.0017386
                    135,                0.78276,                 1.4832,                0.61191,                 1.1054,                0.33898,                  0.375,                0.25981,                0.15728,                0.30085,                0.33333,                0.21451,                0.13115,                 1.9201,                 5.4169,                 2.9615,                 2.1301,              0.0017367,              0.0017367,              0.0017367
                    136,                0.79903,                 1.4765,                0.60103,                 1.1134,                0.52554,                0.33333,                0.32909,                0.20652,                0.52554,                0.33333,                0.31917,                0.16532,                 1.6706,                 5.4174,                 2.4758,                 1.9027,              0.0017347,              0.0017347,              0.0017347
                    137,                0.76759,                 1.4689,                0.64679,                  1.126,                 0.7381,                0.33333,                0.39912,                0.22926,                 0.7381,                0.33333,                0.38149,                0.19567,                 1.7454,                 5.4123,                 2.0728,                 1.9762,              0.0017327,              0.0017327,              0.0017327
                    138,                0.74754,                 1.4451,                0.59276,                 1.0916,                0.71536,                  0.375,                0.45973,                0.27528,                0.71536,                  0.375,                0.43425,                0.20862,                 1.6318,                  5.146,                 2.0107,                 1.8122,              0.0017307,              0.0017307,              0.0017307
                    139,                0.77574,                 1.4037,                0.64932,                 1.1048,                0.79664,                0.33333,                0.47226,                 0.2703,                0.79664,                0.33333,                0.44658,                0.21252,                 1.6229,                 4.8906,                 1.9561,                  1.743,              0.0017287,              0.0017287,              0.0017287
                    140,                0.75661,                 1.4402,                0.60823,                 1.0899,                0.62259,                 0.4817,                0.53195,                0.27463,                0.52948,                0.41667,                0.44351,                0.20577,                 1.6476,                 4.5902,                  1.857,                 1.7255,              0.0017268,              0.0017268,              0.0017268
                    141,                0.74939,                 1.3579,                0.59919,                 1.0592,                0.68993,                0.41667,                0.46822,                0.27223,                0.72116,                0.33333,                0.44474,                0.22871,                 1.7833,                  4.319,                 1.9793,                 1.7792,              0.0017248,              0.0017248,              0.0017248
                    142,                0.74927,                 1.4171,                0.63823,                 1.1018,                0.75643,                0.33333,                0.42865,                 0.2743,                0.75643,                0.33333,                0.42242,                0.23653,                 1.8495,                 4.3147,                 2.1665,                 1.7926,              0.0017228,              0.0017228,              0.0017228
                    143,                 0.7313,                 1.4085,                0.58988,                 1.0549,                0.86553,                   0.25,                0.38608,                0.22407,                0.86553,                   0.25,                0.36811,                0.19097,                 1.8564,                  4.537,                 2.1062,                 1.7861,              0.0017208,              0.0017208,              0.0017208
                    144,                0.74375,                 1.4663,                0.60181,                 1.0723,                 0.3497,                    0.5,                0.38988,                0.22507,                 0.3497,                    0.5,                0.37931,                0.19539,                 1.9289,                 4.5793,                 1.9723,                 1.7809,              0.0017188,              0.0017188,              0.0017188
                    145,                 0.7705,                 1.4054,                0.63598,                 1.0954,                0.59343,                0.41667,                0.44114,                0.26425,                0.59343,                0.41667,                0.43612,                0.22777,                 1.8746,                 4.4934,                 1.9145,                 1.7677,              0.0017169,              0.0017169,              0.0017169
                    146,                0.77408,                  1.423,                0.61535,                 1.0963,                0.83482,                  0.375,                0.47072,                0.28451,                0.83482,                  0.375,                0.45136,                0.24242,                 2.0107,                  4.449,                 2.0319,                 1.8809,              0.0017149,              0.0017149,              0.0017149
                    147,                0.74309,                 1.4638,                0.60546,                 1.0525,                0.94006,                  0.375,                0.46773,                0.25684,                0.94006,                  0.375,                0.44437,                0.22532,                 2.0622,                 4.7824,                 1.8651,                 1.9228,              0.0017129,              0.0017129,              0.0017129
                    148,                0.77038,                 1.5311,                0.65079,                  1.082,                0.84859,                  0.375,                0.53751,                0.29773,                0.84859,                  0.375,                0.48663,                0.20819,                 1.8842,                   5.45,                 1.7135,                 1.8488,              0.0017109,              0.0017109,              0.0017109
                    149,                0.75125,                 1.3619,                0.60457,                 1.0464,                0.58958,                0.65865,                0.58586,                 0.3081,                0.47605,                0.53032,                0.44252,                0.19347,                 1.9143,                 5.5669,                 1.6374,                 1.9615,              0.0017089,              0.0017089,              0.0017089
                    150,                0.76257,                 1.4226,                0.57545,                 1.1025,                0.50137,                0.54167,                0.55514,                0.31431,                 0.4628,                    0.5,                0.48037,                0.19154,                 1.9017,                 5.4505,                 1.6938,                 1.9224,               0.001707,               0.001707,               0.001707
                    151,                0.76375,                 1.4683,                0.60652,                 1.0589,                0.67256,                0.41667,                0.53784,                0.29948,                0.92171,                0.29167,                0.40394,                0.20156,                 1.8807,                 5.3076,                 1.8297,                  1.854,               0.001705,               0.001705,               0.001705
                    152,                 0.7648,                 1.2732,                0.62609,                 1.0899,                0.55731,                0.41667,                0.47084,                0.28303,                 0.6779,                0.29167,                0.36502,                0.18299,                 1.8139,                 5.0925,                 1.9936,                 1.8574,               0.001703,               0.001703,               0.001703
                    153,                0.75972,                 1.3176,                0.61607,                 1.1061,                0.73152,                  0.375,                0.41779,                0.26152,                0.64863,                0.33333,                0.34968,                0.18179,                 1.8598,                 4.9131,                 2.1558,                 1.9146,               0.001701,               0.001701,               0.001701
                    154,                0.72601,                 1.4119,                0.60813,                 1.0783,                0.74635,                0.41667,                0.44822,                0.25529,                0.59708,                0.33333,                 0.3395,                0.16029,                 1.8899,                 4.7384,                 2.2534,                 1.9591,               0.001699,               0.001699,               0.001699
                    155,                0.71203,                 1.3364,                0.59655,                 1.0368,                0.75874,                0.41667,                0.44111,                 0.2376,                0.42659,                  0.375,                0.32064,                0.14578,                 1.9854,                 4.6711,                 2.3655,                 2.0328,              0.0016971,              0.0016971,              0.0016971
                    156,                0.74255,                  1.538,                0.57583,                 1.0686,                0.63226,                0.45833,                0.43987,                0.22897,                0.45903,                0.33333,                0.29193,                0.13344,                 2.0604,                 4.7862,                 2.4564,                 2.0447,              0.0016951,              0.0016951,              0.0016951
                    157,                 0.7188,                 1.3759,                0.58642,                 1.0447,                0.56985,                0.41667,                0.41806,                0.23705,                0.59259,                  0.375,                0.35518,                0.14689,                 2.0043,                 4.9252,                 2.3976,                 2.0252,              0.0016931,              0.0016931,              0.0016931
                    158,                0.79504,                 1.4294,                0.63535,                  1.068,                0.62092,                0.40987,                0.41927,                0.24079,                0.55802,                 0.3686,                0.35799,                0.16282,                 1.9158,                 4.8916,                  2.413,                 1.9253,              0.0016911,              0.0016911,              0.0016911
                    159,                0.76073,                 1.3328,                0.57707,                 1.0658,                 0.5985,                  0.375,                0.40134,                0.24302,                 0.5985,                  0.375,                0.38984,                0.19289,                  1.744,                 4.6148,                 2.4358,                 1.6958,              0.0016891,              0.0016891,              0.0016891
                    160,                0.74511,                 1.4704,                0.60742,                 1.0631,                0.61322,                  0.375,                0.39367,                0.24395,                0.68291,                0.41667,                0.41069,                0.20883,                 1.7623,                 4.5637,                 2.2582,                 1.7044,              0.0016872,              0.0016872,              0.0016872
                    161,                0.70547,                 1.2993,                0.60151,                 1.0772,                0.61785,                0.41667,                0.40736,                0.24606,                0.75777,                0.41667,                0.39535,                0.19481,                 1.8789,                 4.7076,                 2.3422,                 1.8259,              0.0016852,              0.0016852,              0.0016852
                    162,                 0.7539,                 1.2992,                 0.5872,                 1.0681,                0.66999,                  0.375,                0.40875,                0.26222,                0.69778,                0.33333,                0.38194,                0.19779,                  1.804,                 4.9366,                 2.1495,                 1.8742,              0.0016832,              0.0016832,              0.0016832
                    163,                0.75957,                 1.3977,                0.61643,                 1.1199,                 0.6582,                0.40185,                 0.4263,                0.27332,                0.54329,                0.41667,                0.39363,                0.20159,                 1.8444,                 5.1119,                 2.2849,                 1.8962,              0.0016812,              0.0016812,              0.0016812
                    164,                0.70654,                 1.3716,                0.58347,                 1.0492,                0.89675,                0.36282,                0.42975,                0.27355,                0.89675,                0.36282,                0.41256,                0.21346,                 1.7536,                 5.2839,                 2.3015,                  1.776,              0.0016792,              0.0016792,              0.0016792
                    165,                0.68267,                 1.2535,                0.56468,                 1.0762,                0.69699,                0.29167,                  0.384,                0.22304,                0.69699,                0.29167,                0.37016,                0.18977,                  1.821,                 5.2967,                 2.7241,                 1.7506,              0.0016773,              0.0016773,              0.0016773
                    166,                0.73845,                 1.3248,                0.60849,                 1.0913,                0.72963,                0.29167,                0.36753,                0.20319,                0.72963,                0.29167,                0.33728,                0.16366,                 1.9263,                 4.9582,                 2.7008,                 1.8516,              0.0016753,              0.0016753,              0.0016753
                    167,                0.78613,                 1.3074,                0.61282,                 1.0582,                0.53351,                0.33333,                0.29803,                0.17417,                0.64202,                   0.25,                0.24345,                0.14249,                  1.976,                 4.9493,                 2.7535,                  1.966,              0.0016733,              0.0016733,              0.0016733
                    168,                0.74286,                 1.3864,                0.61563,                 1.1062,                 0.5686,                0.32976,                0.33632,                0.21533,                 0.5686,                0.32976,                0.30741,                0.17735,                 1.8613,                 5.2119,                 2.5184,                  1.889,              0.0016713,              0.0016713,              0.0016713
                    169,                0.72551,                 1.3245,                0.61807,                 1.0396,                0.61711,                  0.375,                0.38383,                0.26218,                0.61711,                  0.375,                0.34327,                0.19683,                 1.7949,                 5.2973,                 2.0405,                 1.9557,              0.0016693,              0.0016693,              0.0016693
                    170,                0.69538,                 1.2878,                0.55808,                 1.0402,                0.76592,                  0.375,                0.41082,                0.29555,                0.76592,                  0.375,                0.36881,                0.19237,                 1.8059,                 5.4746,                 2.0531,                 1.9557,              0.0016674,              0.0016674,              0.0016674
                    171,                0.74904,                 1.3706,                0.60978,                 1.0579,                 0.5462,                  0.375,                 0.3797,                0.20754,                0.57244,                0.29167,                  0.293,                0.12654,                 1.8496,                 5.6596,                 2.3682,                 1.9425,              0.0016654,              0.0016654,              0.0016654
                    172,                0.65814,                 1.3276,                0.55894,                 1.0314,                0.59625,                  0.375,                0.37693,                0.17889,                0.64039,                0.29167,                0.28661,                0.11385,                 1.9407,                 5.5404,                 2.5656,                 2.0132,              0.0016634,              0.0016634,              0.0016634
                    173,                0.69236,                 1.3305,                 0.5743,                 1.0395,                0.58208,                  0.375,                0.37946,                0.18543,                0.84677,                0.20833,                0.25715,                0.12084,                 2.0241,                 5.4621,                 2.5506,                 2.0321,              0.0016614,              0.0016614,              0.0016614
                    174,                0.71499,                 1.3558,                0.56051,                 1.0448,                 0.6549,                  0.375,                0.39914,                0.20138,                0.69768,                   0.25,                0.28241,                0.12777,                 2.0395,                 5.3474,                 2.6465,                 2.0524,              0.0016594,              0.0016594,              0.0016594
                    175,                 0.7171,                 1.3352,                0.59029,                 1.0572,                0.72576,                  0.375,                0.37536,                0.18763,                 0.6303,                   0.25,                0.28249,                0.11405,                  2.061,                 5.1445,                 2.6006,                 2.0036,              0.0016575,              0.0016575,              0.0016575
                    176,                0.71451,                 1.2417,                0.59226,                 1.0651,                0.79424,                0.32253,                0.39695,                0.19348,                0.74612,                0.20833,                0.26583,                0.12795,                 2.0387,                 4.9875,                 2.7035,                 2.0092,              0.0016555,              0.0016555,              0.0016555
                    177,                0.74596,                 1.3473,                0.58111,                 1.0602,                0.71291,                0.33333,                 0.3802,                0.19417,                 0.8388,                0.20833,                0.26244,                0.13104,                 2.0472,                 4.8469,                 2.6602,                 2.1101,              0.0016535,              0.0016535,              0.0016535
                    178,                0.61682,                 1.2443,                0.52533,                 1.0109,                0.74658,                0.36872,                 0.3982,                0.19753,                0.74073,                0.29167,                0.33194,                0.13153,                 2.0611,                 4.4318,                 2.4464,                 2.0165,              0.0016515,              0.0016515,              0.0016515
                    179,                0.70478,                 1.2851,                0.55523,                 1.0605,                0.77618,                0.33333,                0.41846,                0.20268,                0.72759,                0.29167,                0.33603,                0.12999,                 2.0047,                 4.5152,                 2.3194,                 2.0853,              0.0016495,              0.0016495,              0.0016495
                    180,                0.68355,                   1.26,                0.59212,                 1.0705,                 0.6279,                  0.375,                0.38842,                0.20615,                0.55813,                0.33333,                0.31705,                0.12677,                 2.0517,                 4.9655,                 2.4533,                 2.1201,              0.0016476,              0.0016476,              0.0016476
                    181,                0.70985,                 1.2956,                0.58777,                 1.0541,                0.81596,                0.41667,                0.41884,                0.22132,                0.57091,                0.29167,                0.27628,                 0.1455,                 1.9119,                 5.0906,                 2.3601,                 1.9973,              0.0016456,              0.0016456,              0.0016456
                    182,                0.65878,                 1.2847,                0.54697,                 1.0517,                0.82368,                0.41667,                0.42095,                0.23299,                0.69768,                0.33333,                0.32334,                0.16563,                 2.0311,                 4.9236,                 2.4108,                  2.091,              0.0016436,              0.0016436,              0.0016436
                    183,                0.73159,                 1.2445,                0.58133,                  1.064,                0.67575,                 0.3481,                0.35644,                0.21268,                0.54412,                  0.375,                0.33462,                0.16444,                 2.1303,                 4.8387,                 2.4478,                 2.1135,              0.0016416,              0.0016416,              0.0016416
                    184,                0.70579,                 1.2615,                0.56828,                 1.0555,                0.38937,                  0.375,                0.31603,                0.19128,                0.43263,                0.41667,                0.32608,                0.14205,                 2.1621,                 5.1991,                 2.5745,                 2.0631,              0.0016396,              0.0016396,              0.0016396
                    185,                0.67766,                 1.2881,                0.52986,                 1.0559,                0.65933,                   0.25,                 0.2954,                 0.1966,                0.65933,                   0.25,                0.30709,                0.14122,                 2.2113,                 5.4137,                 2.4772,                 2.0873,              0.0016377,              0.0016377,              0.0016377
                    186,                0.65703,                 1.2171,                0.55828,                 1.0224,                 0.8096,                   0.25,                0.30158,                0.17594,                 0.8096,                   0.25,                0.29058,                0.13376,                 2.1128,                 5.2666,                 2.5979,                  1.963,              0.0016357,              0.0016357,              0.0016357
                    187,                0.68229,                 1.3032,                0.53426,                 1.0367,                0.42274,                0.36649,                0.26854,                0.14101,                 0.3752,                0.32559,                0.24667,                0.09348,                 2.2375,                 5.2373,                 2.7178,                 2.0569,              0.0016337,              0.0016337,              0.0016337
                    188,                0.70492,                 1.1824,                0.54228,                  1.044,                0.57145,                0.41667,                0.29131,                0.12899,                0.52373,                0.33333,                 0.2144,                0.09327,                 2.2018,                 5.2841,                 2.4427,                  2.081,              0.0016317,              0.0016317,              0.0016317
                    189,                0.70045,                 1.2044,                0.52345,                 1.0327,                0.49617,                0.41667,                0.33224,                 0.1795,                 0.4902,                0.33333,                0.27334,                0.13646,                 2.0739,                 5.2127,                   2.39,                 1.9701,              0.0016297,              0.0016297,              0.0016297
                    190,                 0.7235,                 1.2281,                0.55682,                 1.0391,                0.50226,                0.45833,                0.40566,                0.24186,                0.72984,                0.29167,                  0.349,                0.16593,                 1.9797,                   5.27,                 2.2876,                 1.9761,              0.0016278,              0.0016278,              0.0016278
                    191,                0.67835,                 1.1862,                0.56842,                 1.0393,                0.82003,                0.33333,                0.40464,                0.26142,                0.82003,                0.33333,                0.39191,                0.17564,                 1.9302,                  5.278,                 2.3531,                 1.9506,              0.0016258,              0.0016258,              0.0016258
                    192,                0.73112,                 1.3482,                0.56931,                  1.026,                 0.8739,                0.33333,                0.42283,                0.24075,                0.76437,                0.29167,                0.33486,                0.14715,                 2.0384,                   5.12,                 2.4319,                 2.1346,              0.0016238,              0.0016238,              0.0016238
                    193,                 0.6914,                 1.3115,                0.55511,                 1.0258,                0.84015,                0.33333,                0.40667,                0.23605,                0.72696,                0.29167,                0.31755,                0.15413,                 2.0598,                 4.9318,                  2.491,                 2.0545,              0.0016218,              0.0016218,              0.0016218
                    194,                0.72337,                  1.214,                0.61626,                 1.1248,                0.74655,                0.36868,                0.42712,                0.24319,                0.62248,                0.29167,                0.32127,                0.16046,                  2.051,                 4.6336,                 2.6374,                 1.9976,              0.0016198,              0.0016198,              0.0016198
                    195,                 0.6898,                 1.2754,                0.53864,                 1.0445,                0.74686,                0.36925,                0.42791,                0.24474,                0.72117,                0.29167,                 0.3281,                 0.1443,                  2.016,                 4.6764,                 2.7394,                 1.9498,              0.0016179,              0.0016179,              0.0016179
                    196,                0.68092,                 1.2401,                0.54602,                 1.0419,                0.67203,                0.34205,                0.41115,                 0.2705,                0.86077,                0.29167,                0.33738,                0.15489,                 1.9484,                 4.9099,                 2.7284,                 1.9037,              0.0016159,              0.0016159,              0.0016159
                    197,                0.76013,                 1.2229,                0.57715,                 1.0471,                0.72393,                0.41667,                0.44589,                0.29356,                0.85102,                0.29167,                 0.3463,                0.16174,                 1.9737,                 5.0761,                 2.6511,                 1.8528,              0.0016139,              0.0016139,              0.0016139
                    198,                0.65103,                 1.1908,                0.52546,                 1.0224,                0.76355,                0.40435,                0.45309,                0.25721,                0.95805,                0.29167,                0.33281,                 0.1661,                 1.9292,                    5.2,                 2.5188,                 1.8192,              0.0016119,              0.0016119,              0.0016119
                    199,                 0.6704,                 1.1418,                0.50395,                0.99682,                0.77874,                  0.375,                0.43788,                0.24164,                0.91442,                0.29167,                0.33672,                0.15221,                 2.0395,                 5.3522,                 2.4664,                 1.8903,              0.0016099,              0.0016099,              0.0016099
                    200,                0.68042,                 1.1269,                0.50488,                  1.033,                0.67337,                  0.375,                 0.4102,                0.21852,                0.74388,                0.29167,                0.33529,                0.12957,                 2.0142,                 5.6255,                 2.4959,                 1.8908,               0.001608,               0.001608,               0.001608
                    201,                0.68772,                 1.1863,                0.53478,                 1.0286,                0.70723,                0.33333,                 0.3865,                0.21773,                0.75794,                0.29167,                0.33098,                0.13578,                 2.0771,                 5.7234,                 2.4886,                 1.9393,               0.001606,               0.001606,               0.001606
                    202,                0.67639,                 1.2052,                0.52926,                 1.0192,                0.74119,                  0.375,                0.40807,                0.22745,                0.71135,                0.33333,                0.36265,                0.15057,                 1.9731,                 5.4999,                 2.4114,                 1.9283,               0.001604,               0.001604,               0.001604
                    203,                0.64206,                 1.1126,                0.51384,                 1.0009,                 0.6845,                  0.375,                0.37949,                0.18293,                0.74301,                0.29167,                0.29715,                0.13619,                 2.0142,                 5.4043,                  2.354,                 2.0792,               0.001602,               0.001602,               0.001602
                    204,                0.67784,                 1.1752,                0.51135,                 1.0569,                0.64131,                  0.375,                0.36881,                 0.1998,                0.64607,                0.29167,                0.29297,                0.13443,                 2.0775,                 4.9917,                 2.5972,                 2.2262,                 0.0016,                 0.0016,                 0.0016
                    205,                0.68122,                  1.229,                0.52684,                 1.0146,                0.69245,                0.29167,                0.30006,                0.15744,                0.69245,                0.29167,                0.28133,                0.11394,                  2.207,                 4.3657,                 2.7817,                 2.3719,              0.0015981,              0.0015981,              0.0015981
                    206,                0.68944,                 1.1805,                0.50657,                 1.0608,                0.65015,                0.29167,                0.31563,                0.15396,                0.55518,                   0.25,                0.27318,                0.11649,                 2.3459,                 4.5916,                 2.8397,                 2.4902,              0.0015961,              0.0015961,              0.0015961
                    207,                0.65003,                 1.1612,                0.49781,                 1.0315,                0.84902,                0.33333,                0.39239,                0.17455,                 0.6354,                   0.25,                0.24649,                0.11071,                 2.4674,                 5.1237,                 2.6764,                 2.5911,              0.0015941,              0.0015941,              0.0015941
                    208,                0.63036,                 1.2039,                0.48747,                0.99288,                0.73617,                  0.375,                 0.3997,                0.19338,                 0.6528,                   0.25,                0.23719,                0.11804,                 2.3511,                 5.2121,                 2.6312,                 2.4893,              0.0015921,              0.0015921,              0.0015921
                    209,                0.61754,                 1.1473,                0.49042,                 1.0202,                0.95162,                0.33333,                0.38329,                0.21012,                0.70761,                   0.25,                0.24473,                0.11676,                 2.1728,                 4.9886,                  2.693,                 2.2086,              0.0015901,              0.0015901,              0.0015901
                    210,                0.62603,                 1.1932,                0.52461,                 1.0124,                0.67101,                  0.375,                0.37542,                0.24417,                0.76993,                0.29167,                0.32114,                0.14604,                 2.1882,                 5.0945,                 2.5747,                 2.2705,              0.0015882,              0.0015882,              0.0015882
